interval,sum_mv_prediction_correct,average_mv_prediction_correct,sample_size,Competition
10000,0,,0,All
20000,0,,0,All
30000,0,,0,All
40000,0,,0,All
50000,0,,0,All
60000,0,,0,All
70000,0,,0,All
80000,0,,0,All
90000,0,,0,All
100000,0,,0,All
110000,0,,0,All
120000,0,,0,All
130000,0,,0,All
140000,0,,0,All
150000,0,,0,All
160000,0,,0,All
170000,0,,0,All
180000,0,,0,All
190000,0,,0,All
200000,0,,0,All
210000,0,,0,All
220000,0,,0,All
230000,0,,0,All
240000,0,,0,All
250000,0,,0,All
260000,0,,0,All
270000,0,,0,All
280000,0,,0,All
290000,0,,0,All
300000,0,,0,All
310000,0,,0,All
320000,0,,0,All
330000,0,,0,All
340000,0,,0,All
350000,0,,0,All
360000,0,,0,All
370000,0,,0,All
380000,0,,0,All
390000,0,,0,All
400000,0,,0,All
410000,0,,0,All
420000,0,,0,All
430000,0,,0,All
440000,0,,0,All
450000,0,,0,All
460000,0,,0,All
470000,0,,0,All
480000,0,,0,All
490000,0,,0,All
500000,0,,0,All
510000,0,,0,All
520000,0,,0,All
530000,0,,0,All
540000,0,,0,All
550000,0,,0,All
560000,0,,0,All
570000,0,,0,All
580000,0,,0,All
590000,0,,0,All
600000,0,,0,All
610000,0,,0,All
620000,0,,0,All
630000,0,,0,All
640000,0,,0,All
650000,0,,0,All
660000,0,,0,All
670000,0,,0,All
680000,0,,0,All
690000,0,,0,All
700000,0,,0,All
710000,0,,0,All
720000,0,,0,All
730000,0,,0,All
740000,0,,0,All
750000,0,,0,All
760000,0,,0,All
770000,0,,0,All
780000,0,,0,All
790000,0,,0,All
800000,0,,0,All
810000,0,,0,All
820000,0,,0,All
830000,0,,0,All
840000,0,,0,All
850000,0,,0,All
860000,0,,0,All
870000,0,,0,All
880000,0,,0,All
890000,0,,0,All
900000,0,,0,All
910000,0,,0,All
920000,0,,0,All
930000,0,,0,All
940000,0,,0,All
950000,0,,0,All
960000,0,,0,All
970000,0,,0,All
980000,0,,0,All
990000,0,,0,All
1000000,0,,0,All
1010000,0,,0,All
1020000,0,,0,All
1030000,0,,0,All
1040000,0,,0,All
1050000,0,,0,All
1060000,0,,0,All
1070000,0,,0,All
1080000,0,,0,All
1090000,0,0.0,1,All
1100000,0,0.0,1,All
1110000,0,0.0,1,All
1120000,0,0.0,1,All
1130000,0,0.0,1,All
1140000,0,0.0,1,All
1150000,0,0.0,1,All
1160000,0,0.0,1,All
1170000,0,0.0,1,All
1180000,0,0.0,1,All
1190000,0,0.0,1,All
1200000,0,0.0,1,All
1210000,0,0.0,1,All
1220000,0,0.0,1,All
1230000,0,0.0,1,All
1240000,0,0.0,1,All
1250000,0,0.0,1,All
1260000,0,0.0,1,All
1270000,0,0.0,1,All
1280000,0,0.0,1,All
1290000,0,0.0,1,All
1300000,0,0.0,1,All
1310000,0,0.0,1,All
1320000,0,0.0,1,All
1330000,0,0.0,1,All
1340000,0,0.0,1,All
1350000,0,0.0,1,All
1360000,0,0.0,1,All
1370000,0,0.0,1,All
1380000,0,0.0,1,All
1390000,0,0.0,1,All
1400000,0,0.0,1,All
1410000,0,0.0,1,All
1420000,0,0.0,1,All
1430000,0,0.0,2,All
1440000,0,0.0,2,All
1450000,0,0.0,2,All
1460000,0,0.0,2,All
1470000,0,0.0,2,All
1480000,0,0.0,2,All
1490000,0,0.0,2,All
1500000,0,0.0,2,All
1510000,0,0.0,2,All
1520000,0,0.0,2,All
1530000,0,0.0,2,All
1540000,0,0.0,2,All
1550000,0,0.0,2,All
1560000,0,0.0,2,All
1570000,0,0.0,3,All
1580000,0,0.0,3,All
1590000,0,0.0,3,All
1600000,0,0.0,3,All
1610000,0,0.0,3,All
1620000,0,0.0,3,All
1630000,0,0.0,3,All
1640000,1,0.25,4,All
1650000,1,0.25,4,All
1660000,1,0.25,4,All
1670000,1,0.25,4,All
1680000,1,0.25,4,All
1690000,1,0.25,4,All
1700000,1,0.25,4,All
1710000,1,0.25,4,All
1720000,1,0.25,4,All
1730000,1,0.25,4,All
1740000,1,0.25,4,All
1750000,1,0.25,4,All
1760000,1,0.25,4,All
1770000,1,0.25,4,All
1780000,1,0.25,4,All
1790000,1,0.25,4,All
1800000,1,0.25,4,All
1810000,1,0.25,4,All
1820000,1,0.25,4,All
1830000,1,0.25,4,All
1840000,1,0.25,4,All
1850000,1,0.25,4,All
1860000,1,0.25,4,All
1870000,1,0.25,4,All
1880000,1,0.25,4,All
1890000,1,0.25,4,All
1900000,1,0.25,4,All
1910000,1,0.25,4,All
1920000,1,0.25,4,All
1930000,1,0.25,4,All
1940000,1,0.25,4,All
1950000,1,0.25,4,All
1960000,1,0.25,4,All
1970000,1,0.25,4,All
1980000,1,0.25,4,All
1990000,1,0.25,4,All
2000000,1,0.25,4,All
2010000,1,0.25,4,All
2020000,1,0.25,4,All
2030000,1,0.25,4,All
2040000,1,0.25,4,All
2050000,1,0.25,4,All
2060000,1,0.25,4,All
2070000,1,0.25,4,All
2080000,1,0.25,4,All
2090000,1,0.25,4,All
2100000,1,0.25,4,All
2110000,1,0.25,4,All
2120000,1,0.25,4,All
2130000,1,0.25,4,All
2140000,1,0.25,4,All
2150000,1,0.25,4,All
2160000,1,0.25,4,All
2170000,1,0.25,4,All
2180000,1,0.25,4,All
2190000,1,0.25,4,All
2200000,1,0.25,4,All
2210000,1,0.25,4,All
2220000,1,0.25,4,All
2230000,1,0.25,4,All
2240000,1,0.25,4,All
2250000,1,0.25,4,All
2260000,1,0.25,4,All
2270000,1,0.25,4,All
2280000,1,0.25,4,All
2290000,1,0.25,4,All
2300000,1,0.25,4,All
2310000,1,0.25,4,All
2320000,1,0.25,4,All
2330000,1,0.25,4,All
2340000,1,0.25,4,All
